battery_capacity,current_battery_level,charging_power,temperature,charging_station_type,charging_time_minutes
47,40,63,27,DC_Fast,34.00075079214874
53,32,313,32,AC_Slow,30.0
62,57,312,-5,AC_Slow,30.0
99,29,341,6,AC_Slow,30.0
96,47,163,-7,AC_Slow,30.0
79,64,275,3,AC_Slow,30.0
60,77,125,19,DC_Fast,30.0
55,88,258,35,DC_Fast,30.0
84,10,265,9,AC_Slow,38.94654773100955
57,16,139,-3,AC_Slow,30.0
86,66,278,43,DC_Fast,30.0
92,21,60,-9,DC_Fast,75.17912706276131
63,14,335,26,AC_Slow,30.0
65,59,100,-7,AC_Slow,30.0
64,51,118,-1,AC_Slow,30.0
99,21,32,9,DC_Fast,184.84585082370228
99,27,310,49,DC_Fast,30.0
99,75,6,45,AC_Slow,334.86353205824696
84,83,216,42,AC_Slow,30.0
80,88,72,24,DC_Fast,30.0
68,26,132,37,DC_Fast,32.30021156161122
54,77,337,-1,DC_Fast,30.0
84,80,28,17,AC_Slow,42.842159324801
40,71,257,4,AC_Slow,30.0
64,50,234,25,AC_Slow,30.0
46,43,180,-10,AC_Slow,30.0
48,79,225,11,DC_Fast,30.0
63,54,40,16,DC_Fast,49.122040467777495
40,67,6,18,AC_Slow,178.2141706172426
83,60,278,4,AC_Slow,30.0
47,43,181,-1,AC_Slow,30.0
63,53,268,9,AC_Slow,30.0
50,24,190,11,AC_Slow,30.0
90,87,19,39,AC_Slow,60.15637146101838
56,79,283,37,AC_Slow,30.0
47,59,198,42,AC_Slow,30.0
74,41,202,48,AC_Slow,30.0
74,76,309,-2,AC_Slow,30.0
72,12,68,45,DC_Fast,70.01453762412248
98,83,294,40,DC_Fast,30.0
44,60,22,21,DC_Fast,54.00784412111872
81,76,68,6,DC_Fast,30.0
78,85,334,31,AC_Slow,30.0
97,57,255,8,DC_Fast,30.0
80,26,21,29,DC_Fast,200.17584209856943
67,16,145,16,DC_Fast,36.444546421532486
46,22,312,40,DC_Fast,30.0
48,75,324,26,DC_Fast,30.0
47,13,249,23,AC_Slow,30.0
51,19,294,36,DC_Fast,30.0
73,26,91,38,DC_Fast,30.0
72,61,203,48,AC_Slow,30.0
87,15,165,-1,DC_Fast,40.39626746215654
94,78,144,19,AC_Slow,30.0
62,83,80,10,DC_Fast,30.0
63,18,23,10,AC_Slow,165.66695028745804
76,86,334,43,AC_Slow,30.0
74,30,54,23,AC_Slow,87.84381249822198
83,33,236,-2,DC_Fast,30.0
79,13,299,23,DC_Fast,30.0
61,33,16,39,AC_Slow,193.10272360580058
66,68,339,1,AC_Slow,30.0
74,12,19,36,AC_Slow,279.0686012054894
40,77,32,10,AC_Slow,30.0
74,49,296,46,AC_Slow,30.0
76,57,325,9,AC_Slow,30.0
86,63,254,-5,AC_Slow,30.0
53,44,102,39,AC_Slow,30.0
42,65,307,34,AC_Slow,30.0
40,49,341,25,AC_Slow,30.0
44,86,43,1,DC_Fast,30.0
65,77,42,30,AC_Slow,41.59545622950298
94,55,304,20,DC_Fast,30.0
53,87,183,-9,AC_Slow,30.0
78,22,101,5,DC_Fast,41.05718889528949
66,36,286,-10,AC_Slow,30.0
48,15,242,-7,DC_Fast,30.0
54,26,168,36,AC_Slow,30.0
54,45,101,41,AC_Slow,34.575887907988424
65,11,261,-10,AC_Slow,30.0
81,86,313,41,DC_Fast,30.0
99,61,266,36,AC_Slow,30.0
52,75,297,24,AC_Slow,30.0
90,61,262,2,AC_Slow,30.0
71,52,253,39,DC_Fast,30.0
78,31,249,34,DC_Fast,30.0
88,64,255,31,AC_Slow,30.0
91,76,127,20,AC_Slow,30.0
71,69,329,9,DC_Fast,30.0
43,67,173,45,DC_Fast,30.0
69,21,179,-4,AC_Slow,30.0
76,78,273,46,AC_Slow,30.0
62,48,208,29,AC_Slow,30.0
78,22,329,22,DC_Fast,30.0
84,50,70,17,DC_Fast,37.23498103995078
54,66,319,39,AC_Slow,30.0
82,62,328,33,DC_Fast,30.0
68,21,63,39,DC_Fast,56.242979987123135
75,22,223,49,AC_Slow,30.0
52,83,270,45,AC_Slow,30.0
71,66,145,33,AC_Slow,30.0
46,49,240,9,DC_Fast,30.0
98,89,222,21,DC_Fast,30.0
90,54,19,-2,AC_Slow,183.77246395253337
61,44,306,23,DC_Fast,30.0
67,12,142,3,DC_Fast,36.26873008732861
41,14,236,-7,DC_Fast,30.0
81,20,93,18,DC_Fast,38.69759926012203
84,80,81,4,AC_Slow,30.0
96,65,140,6,DC_Fast,30.0
92,19,114,8,AC_Slow,59.81394683838441
45,43,305,27,DC_Fast,30.0
67,76,95,-2,AC_Slow,30.0
67,81,194,16,DC_Fast,30.0
83,40,77,38,AC_Slow,44.48074073726726
83,84,177,4,AC_Slow,30.0
59,80,39,26,DC_Fast,30.0
69,75,214,17,DC_Fast,30.0
50,79,302,39,AC_Slow,30.0
97,50,137,44,DC_Fast,36.836820813414995
94,72,287,-7,AC_Slow,30.0
67,41,202,10,AC_Slow,30.0
64,29,36,45,AC_Slow,92.95000102909182
78,66,140,23,AC_Slow,30.0
72,59,252,8,DC_Fast,30.0
40,89,345,48,DC_Fast,30.0
96,34,150,26,DC_Fast,34.63876418878692
66,21,338,47,DC_Fast,30.0
96,80,147,-7,DC_Fast,30.0
91,48,238,26,AC_Slow,30.0
52,26,48,40,DC_Fast,56.19462904601615
80,54,36,21,DC_Fast,72.28630254655036
42,20,235,34,DC_Fast,30.0
78,79,32,37,AC_Slow,42.24911672672048
45,32,164,1,DC_Fast,30.0
47,79,337,30,DC_Fast,30.0
66,47,211,45,DC_Fast,30.0
48,11,22,5,DC_Fast,139.71900472854625
76,88,107,3,DC_Fast,30.0
72,81,74,43,AC_Slow,30.0
90,46,123,-10,DC_Fast,34.091827157548344
81,58,143,41,DC_Fast,30.0
83,61,164,44,DC_Fast,30.0
63,42,236,47,AC_Slow,30.0
54,31,152,21,DC_Fast,30.0
98,14,247,10,DC_Fast,30.0
93,27,39,-7,AC_Slow,145.37675515393695
71,47,329,-2,DC_Fast,30.0
71,46,243,45,AC_Slow,30.0
63,73,338,40,DC_Fast,30.0
80,19,153,35,AC_Slow,30.0
91,88,115,11,AC_Slow,30.0
88,51,21,1,AC_Slow,170.30455737398424
88,57,230,19,AC_Slow,30.0
97,53,144,19,DC_Fast,30.0
91,25,148,21,AC_Slow,36.9988639631442
51,63,264,49,AC_Slow,30.0
78,44,221,25,DC_Fast,30.0
41,37,166,-4,DC_Fast,30.0
42,11,96,6,AC_Slow,41.75828686985884
88,22,178,-10,AC_Slow,31.572117299936167
76,50,335,3,DC_Fast,30.0
88,89,209,36,AC_Slow,30.0
95,68,157,33,DC_Fast,30.0
56,78,107,33,DC_Fast,30.0
98,62,206,27,AC_Slow,30.0
88,54,284,15,DC_Fast,30.0
41,29,69,16,DC_Fast,30.0
41,33,121,34,AC_Slow,30.0
67,70,157,5,DC_Fast,30.0
93,67,160,35,DC_Fast,30.0
62,36,168,-4,AC_Slow,30.0
76,35,86,21,DC_Fast,30.0
71,16,10,14,DC_Fast,430.928106863171
72,51,326,20,AC_Slow,30.0
40,56,71,5,DC_Fast,30.0
58,62,242,44,DC_Fast,30.0
41,68,76,30,DC_Fast,30.0
92,47,99,47,DC_Fast,34.753413070996345
83,78,308,3,AC_Slow,30.0
65,62,330,14,DC_Fast,30.0
71,24,82,19,AC_Slow,44.114619216066004
45,35,71,45,DC_Fast,40.162343504441125
71,57,180,-4,AC_Slow,30.0
94,28,325,1,DC_Fast,30.0
43,18,176,-8,AC_Slow,30.0
94,73,259,16,AC_Slow,30.0
50,63,67,35,DC_Fast,30.0
95,60,306,8,DC_Fast,30.0
98,48,250,32,AC_Slow,30.0
56,13,196,26,AC_Slow,30.0
77,12,333,44,AC_Slow,30.0
63,73,75,34,AC_Slow,31.28681843029525
44,38,233,49,AC_Slow,30.0
91,20,67,31,AC_Slow,85.0431972941383
73,67,301,-4,DC_Fast,30.0
45,84,249,38,DC_Fast,30.0
61,36,11,5,AC_Slow,297.18099531517464
50,30,264,21,AC_Slow,30.0
87,48,93,-3,DC_Fast,30.0
55,55,181,38,AC_Slow,30.0
72,75,208,2,AC_Slow,30.0
48,45,138,0,DC_Fast,30.0
99,84,86,9,DC_Fast,30.0
98,74,25,7,AC_Slow,80.87026550669641
45,72,132,26,DC_Fast,30.0
55,44,199,-5,AC_Slow,30.0
68,40,198,9,DC_Fast,30.0
42,37,188,21,AC_Slow,30.0
59,10,251,35,AC_Slow,30.0
99,34,328,33,AC_Slow,30.0
98,52,164,18,AC_Slow,30.0
75,76,198,-7,DC_Fast,30.0
58,72,114,-4,DC_Fast,30.0
65,60,70,32,DC_Fast,30.0
42,11,258,9,AC_Slow,30.0
58,73,287,23,DC_Fast,30.0
59,83,64,25,AC_Slow,30.0
71,78,122,-4,AC_Slow,30.0
46,18,48,22,DC_Fast,43.747706711247396
91,11,214,4,DC_Fast,30.0
80,43,40,41,AC_Slow,74.67756433059023
72,69,23,21,AC_Slow,75.3083682418742
79,70,95,11,DC_Fast,30.0
78,40,305,45,DC_Fast,30.0
57,19,216,29,DC_Fast,30.0
79,85,226,18,DC_Fast,30.0
40,45,221,14,DC_Fast,30.0
50,58,227,-6,AC_Slow,30.0
67,79,102,3,AC_Slow,30.0
96,58,23,39,AC_Slow,164.63682104806222
64,12,301,24,DC_Fast,30.124242993493937
89,83,30,-9,AC_Slow,30.0
62,14,32,14,DC_Fast,113.53327104609693
70,70,68,43,DC_Fast,30.0
69,35,328,5,DC_Fast,30.0
81,81,227,35,AC_Slow,30.0
74,14,84,5,AC_Slow,84.6854380249994
46,24,55,0,AC_Slow,40.03039363298512
99,25,106,49,AC_Slow,48.90242448691361
55,10,180,38,DC_Fast,35.85002400677328
65,25,14,24,DC_Fast,239.6385058968826
87,46,241,12,AC_Slow,30.0
96,12,104,44,AC_Slow,75.33118908329749
91,61,232,-6,DC_Fast,30.0
99,56,68,24,AC_Slow,53.16471515455434
88,22,23,18,AC_Slow,248.13393378389634
41,89,336,36,DC_Fast,30.0
40,64,322,44,AC_Slow,30.0
87,30,145,-6,AC_Slow,38.956375884651635
51,75,29,43,AC_Slow,30.0
44,63,232,-8,DC_Fast,30.0
76,36,93,-5,AC_Slow,44.874783967031576
71,47,96,12,AC_Slow,32.88865086114484
98,67,46,35,DC_Fast,33.32146968906258
94,71,299,45,DC_Fast,30.0
48,55,85,-9,DC_Fast,30.0
80,20,111,7,DC_Fast,48.77382155542022
74,81,115,19,DC_Fast,30.0
58,17,281,27,DC_Fast,30.0
87,80,218,45,DC_Fast,30.0
55,73,235,-6,AC_Slow,30.0
42,30,310,35,DC_Fast,30.0
59,81,125,38,DC_Fast,30.0
63,72,138,0,DC_Fast,30.0
93,73,310,-10,AC_Slow,30.0
95,29,212,-1,AC_Slow,30.0
72,17,261,30,DC_Fast,30.0
63,67,189,41,DC_Fast,30.0
91,55,290,33,DC_Fast,30.0
50,40,184,15,AC_Slow,30.0
88,18,52,22,DC_Fast,105.53502491882642
47,24,91,16,AC_Slow,30.0
75,35,23,45,AC_Slow,168.89007731602146
77,19,50,39,DC_Fast,89.58211067655857
79,38,60,1,AC_Slow,65.50493820432033
59,89,233,-9,DC_Fast,30.0
74,45,149,-10,AC_Slow,30.0
87,46,96,-10,AC_Slow,43.424554046969405
64,80,86,46,AC_Slow,30.0
74,32,229,22,DC_Fast,30.0
64,50,83,11,AC_Slow,44.77832646445113
68,89,154,1,AC_Slow,30.0
57,37,287,28,DC_Fast,30.0
85,57,315,25,AC_Slow,30.0
57,47,164,10,AC_Slow,30.0
41,40,320,9,DC_Fast,30.0
93,23,160,25,DC_Fast,41.9569706162752
74,82,160,15,DC_Fast,30.0
55,86,206,36,AC_Slow,30.0
80,38,345,20,AC_Slow,30.0
75,60,346,-10,AC_Slow,30.0
72,58,121,27,AC_Slow,30.0
43,52,158,3,AC_Slow,30.0
72,81,335,15,DC_Fast,30.0
53,14,123,35,AC_Slow,30.0
60,51,203,31,DC_Fast,30.0
87,16,267,-4,AC_Slow,39.52837850720984
59,51,188,44,AC_Slow,30.0
95,45,152,45,DC_Fast,30.0
47,36,170,44,AC_Slow,30.0
46,67,79,43,AC_Slow,30.0
42,55,240,1,DC_Fast,30.0
56,75,318,13,DC_Fast,30.0
72,34,276,8,AC_Slow,30.0
87,82,183,-2,DC_Fast,30.0
51,36,287,24,AC_Slow,30.0
98,10,55,-7,DC_Fast,101.38920156455875
90,83,79,34,AC_Slow,30.0
61,51,148,31,DC_Fast,30.0
94,61,347,21,DC_Fast,30.0
61,34,192,35,AC_Slow,30.0
85,63,127,-5,DC_Fast,30.0
69,76,336,17,DC_Fast,30.0
77,15,255,17,DC_Fast,30.0
77,67,300,29,AC_Slow,30.0
84,79,327,40,DC_Fast,30.0
90,62,134,18,DC_Fast,30.0
93,75,256,31,DC_Fast,30.0
47,67,184,43,AC_Slow,30.0
66,11,114,-6,AC_Slow,33.21427520278707
66,85,342,-6,DC_Fast,30.0
73,31,82,26,AC_Slow,37.71871687543142
60,46,6,30,DC_Fast,377.63525823146176
69,29,325,44,AC_Slow,30.0
72,33,280,17,DC_Fast,30.0
67,74,294,30,AC_Slow,30.0
86,74,301,36,DC_Fast,30.0
72,10,173,-2,DC_Fast,33.07908967485252
44,12,244,18,AC_Slow,30.0
99,55,27,3,DC_Fast,114.04046692903582
87,64,298,27,DC_Fast,30.0
58,84,176,43,DC_Fast,30.0
43,73,327,41,AC_Slow,30.0
74,54,322,29,DC_Fast,30.0
88,35,290,23,DC_Fast,31.631742969099328
56,86,347,26,DC_Fast,30.0
83,74,197,38,AC_Slow,30.0
67,33,173,31,DC_Fast,39.084184826433855
69,83,122,3,AC_Slow,30.0
68,44,10,7,DC_Fast,260.66457427294466
85,33,335,22,AC_Slow,30.0
92,37,136,43,AC_Slow,30.0
45,89,97,23,AC_Slow,30.0
74,25,255,17,DC_Fast,30.0
99,68,14,25,AC_Slow,178.15372972952272
80,63,55,34,AC_Slow,52.732334071195076
76,88,298,37,AC_Slow,30.0
63,25,133,26,AC_Slow,30.0
68,24,253,12,AC_Slow,30.0
88,20,106,31,AC_Slow,53.25462977801354
85,74,341,6,AC_Slow,30.0
92,88,87,49,AC_Slow,30.0
70,77,195,0,AC_Slow,30.0
74,52,147,21,DC_Fast,30.0
99,78,241,26,AC_Slow,30.0
72,22,291,4,AC_Slow,30.0
91,19,281,-7,AC_Slow,30.0
60,84,295,28,AC_Slow,30.0
71,50,173,19,AC_Slow,30.0
62,59,148,-1,AC_Slow,30.0
72,80,188,12,AC_Slow,30.0
42,68,49,13,DC_Fast,30.0
57,48,247,25,DC_Fast,30.0
64,12,319,41,DC_Fast,30.0
81,85,272,47,AC_Slow,30.0
70,16,257,-6,AC_Slow,30.0
93,58,293,26,DC_Fast,30.0
97,35,216,32,DC_Fast,30.0
42,42,181,8,AC_Slow,30.0
79,57,25,26,AC_Slow,99.24088754275132
85,88,320,42,DC_Fast,30.0
63,11,56,-3,DC_Fast,67.33295232509579
89,80,237,-4,DC_Fast,30.0
71,41,127,29,DC_Fast,30.0
86,13,104,2,AC_Slow,60.57954950320398
61,29,218,26,DC_Fast,30.0
62,45,331,49,DC_Fast,30.0
41,41,139,16,AC_Slow,30.0
66,37,322,7,DC_Fast,30.0
81,86,222,13,DC_Fast,30.0
41,10,92,30,DC_Fast,35.49681784716451
65,69,284,-9,AC_Slow,30.0
56,65,44,5,AC_Slow,30.0
79,44,244,3,DC_Fast,30.0
72,39,336,6,AC_Slow,30.0
48,63,140,49,AC_Slow,30.0
82,45,186,-5,DC_Fast,30.0
93,64,269,24,AC_Slow,30.0
87,89,263,6,DC_Fast,30.0
78,67,186,34,AC_Slow,30.0
68,74,25,27,DC_Fast,56.308666960288484
81,78,200,49,AC_Slow,30.0
94,60,216,29,AC_Slow,30.0
65,31,20,46,DC_Fast,155.6045869680644
74,62,206,-5,DC_Fast,30.0
89,45,222,49,DC_Fast,33.463231072837644
64,77,97,37,DC_Fast,30.0
63,45,137,27,AC_Slow,30.0
52,61,143,38,AC_Slow,30.0
99,62,161,10,DC_Fast,30.0
97,59,339,24,AC_Slow,30.0
46,89,74,12,DC_Fast,30.0
96,50,308,1,AC_Slow,30.0
75,27,19,46,DC_Fast,200.24584890177482
84,31,239,18,AC_Slow,30.0
59,75,216,16,DC_Fast,30.0
40,30,294,-5,AC_Slow,30.0
47,53,64,10,AC_Slow,30.0
85,56,256,-4,DC_Fast,30.0
55,48,6,32,AC_Slow,378.5031780562892
53,38,240,30,AC_Slow,30.0
51,63,340,5,DC_Fast,30.0
90,26,23,-6,DC_Fast,194.17441797460364
62,89,53,4,DC_Fast,30.0
54,69,82,10,DC_Fast,30.0
67,40,32,47,AC_Slow,96.29913995065783
73,82,52,-7,DC_Fast,30.0
41,87,100,-6,DC_Fast,30.0
71,58,169,-4,DC_Fast,30.0
62,11,180,24,AC_Slow,30.0
61,57,77,25,AC_Slow,31.528311307471736
90,23,33,46,AC_Slow,165.64211681739297
64,68,161,4,AC_Slow,30.0
97,67,318,17,DC_Fast,30.0
61,67,308,-9,AC_Slow,30.0
97,60,283,45,AC_Slow,30.0
97,11,287,46,DC_Fast,31.446671906283044
61,50,11,-6,DC_Fast,204.83405617164362
88,25,309,-4,AC_Slow,30.0
91,13,186,11,DC_Fast,34.90585681983481
81,21,113,38,AC_Slow,34.02409240579908
45,38,328,20,AC_Slow,30.0
54,16,210,21,AC_Slow,30.0
93,23,238,-3,DC_Fast,30.0
82,21,191,30,DC_Fast,30.0
99,14,333,31,AC_Slow,41.294766790578954
76,41,12,0,AC_Slow,289.9203362571302
72,83,57,-10,DC_Fast,30.0
47,52,203,36,AC_Slow,30.0
92,78,141,29,DC_Fast,30.0
99,54,263,8,DC_Fast,30.0
83,18,338,33,DC_Fast,30.0
83,58,176,27,DC_Fast,30.0
44,42,90,31,AC_Slow,30.0
78,27,50,45,DC_Fast,83.05598568724292
43,18,190,26,DC_Fast,30.999055265539603
45,71,160,45,DC_Fast,30.0
84,66,13,-4,AC_Slow,170.1947111907061
71,38,119,28,AC_Slow,32.44063288161774
91,87,158,44,AC_Slow,30.0
69,34,134,14,AC_Slow,30.0
86,24,335,43,AC_Slow,30.0
74,15,85,11,DC_Fast,30.0
94,51,294,16,AC_Slow,30.0
79,38,151,30,AC_Slow,30.0
91,88,299,36,DC_Fast,30.0
55,13,273,27,AC_Slow,38.068222942702725
52,66,137,37,AC_Slow,30.0
89,58,54,28,DC_Fast,58.37839434862026
99,53,27,4,AC_Slow,137.06137016880237
81,89,92,44,AC_Slow,30.0
69,84,116,-9,DC_Fast,30.0
58,23,115,49,AC_Slow,41.45081020465253
56,12,76,-3,AC_Slow,43.67524302492731
95,71,158,33,DC_Fast,30.0
58,73,61,32,AC_Slow,30.0
67,54,261,-5,AC_Slow,30.0
97,67,160,9,AC_Slow,30.0
94,29,117,16,AC_Slow,32.00322649838485
65,67,322,34,AC_Slow,30.0
76,66,51,12,DC_Fast,45.37031941718523
65,86,242,37,AC_Slow,30.0
92,77,338,29,DC_Fast,30.0
62,87,110,6,AC_Slow,30.0
48,61,191,47,AC_Slow,30.0
51,46,163,2,DC_Fast,30.0
92,17,202,-7,DC_Fast,30.0
40,53,181,9,DC_Fast,30.0
97,14,265,31,AC_Slow,44.92991984863319
97,78,291,14,AC_Slow,30.0
40,40,297,11,DC_Fast,30.0
86,54,339,41,AC_Slow,30.0
73,18,147,37,AC_Slow,45.62289778177257
71,41,312,6,AC_Slow,30.0
93,42,201,29,AC_Slow,35.96174794510466
87,76,229,0,AC_Slow,30.0
64,39,47,14,DC_Fast,69.0113610297892
79,85,155,-6,AC_Slow,30.0
84,38,300,10,DC_Fast,30.0
92,12,67,15,AC_Slow,107.91042456754143
40,66,134,5,AC_Slow,30.0
55,39,259,45,AC_Slow,30.0
78,18,347,29,AC_Slow,30.0
44,35,218,10,DC_Fast,30.0
61,11,77,37,AC_Slow,65.9664808626048
68,71,108,21,AC_Slow,30.0
94,12,162,-7,DC_Fast,38.31373035430851
42,55,276,27,AC_Slow,30.0
51,77,319,47,AC_Slow,30.0
65,34,242,42,AC_Slow,30.0
55,60,307,-3,DC_Fast,30.0
90,22,162,-2,AC_Slow,33.084518558489584
76,53,113,34,DC_Fast,30.0
61,44,13,6,DC_Fast,186.1210624501965
96,64,325,30,AC_Slow,30.0
68,18,63,2,AC_Slow,65.2154034852998
53,11,196,-2,AC_Slow,30.0
67,70,140,-5,AC_Slow,30.0
44,50,255,16,DC_Fast,30.0
86,53,150,31,AC_Slow,30.0
88,73,62,26,AC_Slow,43.92935007113273
69,40,181,28,AC_Slow,30.0
85,56,292,32,DC_Fast,30.0
91,11,249,13,AC_Slow,35.472430890804844
44,86,52,-2,AC_Slow,30.0
51,78,305,46,AC_Slow,30.0
55,67,104,31,AC_Slow,30.0
65,53,217,0,AC_Slow,30.0
65,83,306,24,AC_Slow,30.0
87,65,169,18,AC_Slow,30.0
60,52,130,-3,DC_Fast,30.0
78,43,306,6,DC_Fast,30.0
75,39,125,-4,AC_Slow,30.0
72,80,92,1,AC_Slow,30.0
69,79,221,37,AC_Slow,30.0
76,64,65,4,DC_Fast,30.0
62,76,306,42,AC_Slow,30.0
97,22,183,18,AC_Slow,32.17116882931263
49,12,194,34,DC_Fast,30.0
93,35,167,39,DC_Fast,32.5545421463579
44,66,85,39,AC_Slow,30.0
75,33,174,13,AC_Slow,30.0
73,62,305,26,DC_Fast,30.0
91,79,200,3,DC_Fast,30.0
70,52,207,49,DC_Fast,30.0
49,69,51,0,DC_Fast,30.0
97,67,162,24,AC_Slow,30.0
58,58,198,6,AC_Slow,30.0
97,51,283,48,DC_Fast,30.0
71,85,321,44,AC_Slow,30.0
40,75,273,16,AC_Slow,30.0
95,20,203,33,DC_Fast,33.31206807298813
44,27,228,-8,DC_Fast,30.0
84,61,267,44,DC_Fast,30.0
43,55,170,49,AC_Slow,30.0
55,53,184,-9,AC_Slow,30.0
63,31,196,-7,AC_Slow,30.0
55,62,220,7,DC_Fast,30.0
94,68,288,9,AC_Slow,30.0
41,39,111,10,DC_Fast,30.0
88,17,102,3,AC_Slow,56.10659866811708
67,66,234,-3,DC_Fast,30.0
71,82,261,-9,AC_Slow,30.0
66,29,47,15,AC_Slow,70.90842651761619
59,34,246,8,DC_Fast,30.0
63,28,46,31,DC_Fast,61.5222497351242
51,14,99,17,AC_Slow,30.0
89,84,258,18,AC_Slow,30.0
74,88,192,-6,DC_Fast,30.0
99,81,311,32,AC_Slow,30.0
72,36,171,17,AC_Slow,30.0
72,49,275,49,DC_Fast,30.0
90,35,129,30,DC_Fast,46.038587018255704
82,36,165,37,AC_Slow,32.319412463628765
76,71,91,15,DC_Fast,30.0
51,59,313,48,AC_Slow,30.0
42,51,230,-6,AC_Slow,30.0
40,38,149,4,DC_Fast,30.0
72,48,349,35,AC_Slow,30.0
79,69,252,-2,AC_Slow,30.0
49,50,10,21,AC_Slow,210.53884488548135
82,42,35,41,AC_Slow,129.32792098860756
83,25,201,15,AC_Slow,30.0
68,32,236,26,DC_Fast,30.0
52,16,300,4,DC_Fast,30.0
51,35,329,30,AC_Slow,30.0
70,21,139,-7,AC_Slow,30.0
85,81,17,42,DC_Fast,48.39864679396686
41,14,8,42,AC_Slow,363.92622457771745
90,78,182,25,DC_Fast,30.0
89,58,238,9,DC_Fast,30.0
74,35,263,16,DC_Fast,30.0
62,14,144,10,AC_Slow,31.152275954008868
56,31,69,49,AC_Slow,46.48259102354592
65,88,287,11,AC_Slow,30.0
47,22,310,-4,AC_Slow,30.0
68,37,209,36,DC_Fast,30.0
65,42,21,43,AC_Slow,159.81226838228068
49,32,204,20,AC_Slow,30.0
65,27,36,6,AC_Slow,108.95614587206175
